0,75255,28707,96832,22682,33633,87224,88622,25901,96880,19868,18233,44902,47453,82863,46609,96212,15743,27660,33528,106373,58576,73438,15717,59776,99103,17051,26080,32093,76765,14643,39496,50936,85652,104509,29122,90189,54296,30819,46871,13110,55032,43110,39099,38300,26502,72630,21303,41041,39854,63566,70228,65278,80271,43514,23450,22853,36664,32190,33458,38224,7834,70572,10489,33876,81268,79998,91085,43703,98411,28610,16089,19087,103032,29172,18492,21798,49011,59123,82873,14412,80788,50171,87300,44973,38702,28739,14246,36916,69111,87050,13597,33847,25151,76158,72515,101318,29614,74399,38889
74796,0,60897,26638,67167,38822,33929,35327,80392,43585,72347,71813,58764,51397,40616,61674,26018,83550,73533,70690,55447,50076,8532,83719,50004,46438,95048,59741,47568,13364,100035,68457,25260,14665,42940,41092,36894,57950,72136,34831,73981,50453,59914,37987,47958,47181,62953,61825,62929,29903,18398,10224,20141,41729,61512,69323,63888,48850,55575,45342,47409,57153,21608,65540,52918,25135,12419,25617,53109,50209,60346,71033,58022,38637,59911,48132,95771,21643,20462,10694,74017,9487,55774,16313,33907,36380,63375,85261,41911,21651,16856,71173,75494,57807,7857,11364,39749,49897,6902,74660
29121,60904,0,82481,11426,26990,93224,94622,52408,102881,19344,18810,8813,11365,88863,70765,81860,30547,12601,7538,111289,30388,59086,30717,65681,102280,43558,55260,43088,62413,40518,72168,36585,71300,98782,51969,96189,73627,57326,33840,36177,66130,69006,27555,16971,16968,78630,14352,72020,46491,49214,55877,50926,86271,70603,16320,10885,62396,7588,25639,15634,30326,62876,26462,60805,87269,65646,85160,12739,106051,55866,13265,24878,94479,1282,34275,42768,58910,44772,68521,16012,66436,74481,72949,32145,52057,58895,32258,57588,61704,72698,36665,60354,13432,61806,58163,95591,45417,60048,65395
97059,26270,83160,0,89430,61085,43126,44524,94435,40559,94610,94076,81027,73660,49814,75716,4424,105813,95796,92953,41238,72339,32974,105982,61098,32229,109091,82004,69831,37806,114077,82500,47523,17633,28732,63355,46091,67884,86178,57094,88830,64496,73956,60250,70221,69444,64854,84088,76971,52166,40661,32494,45141,50926,75554,91586,86151,67994,77838,67605,69672,79417,43088,87804,71085,38458,17185,20772,75372,36000,82609,93296,80285,22088,82175,70395,119381,44004,42726,23172,96280,20568,63408,10789,56170,58643,71553,107524,64174,44013,12603,86022,89536,80070,28040,33634,25541,72160,30420,88702
21511,67496,11397,89073,0,22050,80903,82302,42568,90560,13467,10228,23305,25856,76542,49296,88452,20483,13512,15777,100052,36980,65678,23462,53455,108872,33719,33791,25722,69006,31310,38365,43177,77892,105374,31314,83868,57137,36991,40433,29949,48712,47536,34147,20553,14919,66309,3376,50551,53083,55806,62469,57518,73950,49134,14171,6294,37968,14443,21875,20477,22983,69468,15487,36377,74948,72238,91752,22107,92090,30802,5650,13903,101071,11862,23300,40619,65503,51364,75113,8398,73028,53012,79541,38737,40894,34466,25003,39108,68296,79290,27724,39529,11109,68399,64756,102183,26623,66640,55556
32768,38782,27467,60359,22373,0,68661,70059,63932,78318,38917,38383,25334,17939,64300,45213,59739,50120,40103,37260,89168,16646,36965,50289,41118,80158,46852,29708,17535,40292,44443,46616,14464,49179,76661,26417,71626,53055,44648,11304,43949,44629,43453,3114,14500,8933,54067,20995,46468,21928,27093,33755,28805,61708,45051,35893,30458,36844,22145,3592,13951,30887,38313,26744,35253,62706,43525,63039,19679,83929,30313,27716,18616,72357,26482,30371,62341,34347,22651,46400,24961,44315,48929,50827,9406,27494,33343,51831,33025,37141,50577,41141,50135,12841,39685,36042,73470,15859,37926,58199
87487,33994,93173,42902,80361,68595,0,3152,64862,14150,104623,104089,91041,83674,11181,46143,42282,94087,105809,102966,23643,82353,28607,94504,31525,26546,79518,50283,63877,33440,84504,52926,76296,36776,31952,46403,7459,38311,56605,67728,59257,34923,44383,65865,80234,72301,24640,78982,47398,50280,69434,61266,74223,12294,45981,101599,96165,38421,87851,71614,79686,61740,22692,68939,41512,8703,34530,18520,85386,20236,50888,80974,71293,30475,92188,57176,89808,26861,71498,25258,78219,28401,33835,48259,65770,45984,41980,85845,40755,26778,41375,56448,59963,79615,56812,62407,28761,64219,28439,59129
88996,35503,94682,44411,81870,70104,3152,0,66371,9090,106133,105598,92550,85183,12690,47652,43791,95596,107318,104475,18582,83862,30117,96013,33034,14700,81027,51792,65386,34949,86013,54436,77805,38285,20359,47912,8968,39820,58114,69237,60766,36432,45893,67374,81743,73810,26149,80492,48907,51789,70943,62775,75732,13803,47490,103109,97674,39930,89360,73123,81195,63249,24201,70448,43021,10212,36039,20029,86895,12781,52397,82483,72802,31984,93697,58685,91317,28370,73007,26767,79728,29910,35344,49768,67279,47493,43489,87354,42264,28287,42884,57958,61473,81125,58321,63916,17710,65728,29948,60638
26370,79521,53867,93229,44213,59586,64994,66392,0,74651,37095,35460,62129,78164,60633,24379,92609,32970,44887,50755,84143,76843,60461,33387,37546,76873,18401,36502,50096,65293,23388,17266,68939,89918,82279,42493,67959,32067,8589,64874,10929,32802,20880,57102,74724,58519,50400,42834,18811,50729,71786,74494,83280,58041,21284,40677,42895,35320,59669,62604,74176,17817,48342,24201,32532,59039,84264,68855,79876,76181,37107,37620,31994,80802,54333,24399,28692,48304,77126,75594,35943,85054,27941,98586,62976,46434,32859,24729,38635,46881,91703,16640,11618,46682,80424,76781,79088,50438,61968,16659
97817,52937,103503,40796,90691,78925,12649,9118,75191,0,114953,114419,101371,94004,12622,56473,40176,104417,116139,113296,10113,92683,38937,104834,41854,10288,89847,60613,74207,43769,94834,63256,74190,47106,17641,56732,7557,36997,66935,78058,69587,45252,54713,76195,90564,82631,26081,89312,57728,60609,67328,59160,72118,13735,56311,111929,106495,48751,98181,81944,90016,72070,33021,79269,51842,19033,44860,28850,95715,5838,61218,91304,81623,20901,102518,67506,100138,37191,69392,35588,88549,38731,44165,46153,76100,56314,52310,96175,51085,37108,39269,66778,70293,89945,54706,60301,14992,74549,38769,69459
